time;id;trait_1;trait_2;trait_3;trait_4
"20-Apr-2018 18:46:51";2377;54;0;0;0.00279228501990796
"22-Apr-2018 08:03:39";2377;30;0;0;0.00230627306273063
"24-Apr-2018 13:40:29";2377;29.9913326110509;0;0;0.00151679306608884
"27-Apr-2018 19:54:08";2377;29.5797005931645;0;0;0.00141229639393654
"28-Apr-2018 22:02:04";2377;16.6228650137741;0;0;0.000463728191000918
"30-Apr-2018 07:58:10";2377;22.2816812838997;0.000752938551848185;6.26055504385168;0.000264574241135543
"18-Apr-2018 17:31:46";2379;54;0;0;0.818181818181818
"24-Apr-2018 17:29:53";2379;56.6996638655462;0;0;0.00116526610644258
"17-Apr-2018 19:02:45";2391;59.4;0;0;1.41428571428571
"18-Apr-2018 20:37:11";2391;30.1284752201692;0;0;0.00296658386798259
